inchikey,frac,total,n_ok
PXNMTNUVFFXMDM-RIRQAGSXSA-N,0.2738505980611798,1283.4373551920214,2
GOYQMHFEUCGGQP-KNEYTPTNSA-N,0.304420536387906,1246.381257167941,2
ZKSIBZPQXGITFB-XWHCRJSRSA-N,0.281667827373252,1257.036463725387,2
OYEMTMVRCOKRNI-YXDJGTFZSA-N,0.3008007285021234,1223.9256747749969,2
LJDWBSCMWMABDB-GDHIUOJHSA-N,0.2576020669506372,1372.6633399631698,2
DIMQLUQZVZGJDS-KPMCKEOLSA-N,0.2982717562622939,1191.4848458392012,2
NGAKHMZZZOEVJN-ULBIXCISSA-N,0.3133053004093246,1184.1606177347198,2
RZNUAAPHNXORJZ-ZXRXNPJBSA-N,0.3227387686729152,1110.051700023644,2
HSYRKVUJRGZSGE-HIQAUPJSSA-N,0.3252690385808789,1184.183098224698,2
WXONFALQQHPMJH-LVWLAEPYSA-N,0.3251466503741251,1177.1074273910758,2
VYBKDEHPPVMLIB-LVWLAEPYSA-N,0.3326793929276502,1168.1293098968756,2
MAWICJJGERYKIR-AQPKAUOTSA-N,0.3432146976715187,1152.997235701192,2
LJRIOHREDRZJKG-DZPUQGKLSA-N,0.3503801273256214,1206.1090829344112,2
QWIULLKMGINPLP-MEWKNZNDSA-N,0.3101650497680301,1223.6487100716283,2
QWLBWLLOTCCMGL-ULBIXCISSA-N,0.327906745707145,1229.8609504898698,2
FKJJOOQCBIJDHU-KBBHRSJHSA-N,0.3516146821928033,901.515596421613,2
MPQVLIBPESRKBN-SLNSMJHASA-N,0.4041616669412852,867.2092054745565,2
XCEILWGIMJVLOM-UBMBDKRFSA-N,0.3744154339248597,890.3368795195044,2
KVALRDMESSGJBW-LKCHYZOOSA-N,0.3914724621094455,837.8449326879779,2
KSAWRVYXNGICDS-VNFMUODMSA-N,0.318014874674134,993.1780797226304,2
CBEVNIPZISNLSH-BWNSMLKKSA-N,0.4019571106508739,815.7336646901094,2
SOZLPGANPDITEX-BWNSMLKKSA-N,0.4251991026545167,816.6892446381063,2
XCKBIFULRTZHNS-WRMGPFAZSA-N,0.4590062918641938,742.1321328718874,2
QKZDPJHZDBLWTA-ZSWZUPCLSA-N,0.4327699996667608,809.5201156302296,2
SNQKPCAZRKPESL-XVDYJLBTSA-N,0.4524677838681977,797.9800922679426,2
SQQNRECCLKASON-XVDYJLBTSA-N,0.4627676918915652,812.534756674326,2
PASMWBXIYZMAOG-RRTOEWFDSA-N,0.4762618066580568,788.9978411182088,2
OZZBDMLGERDAAY-QGEMDFNKSA-N,0.4714938713276396,838.688196970449,2
OLLIPCNDTCCSMV-UQVJUHIMSA-N,0.4163491299026578,842.8478962456256,2
SEUNWWKOAGNAGS-BWNSMLKKSA-N,0.44537043954115,859.2399540621554,2
WSBBEPTWDSZPEZ-OPLOGBFBSA-N,0.242640151047502,1285.6332723709415,2
WXOVPEDMEHBLIC-KYAWKZMSSA-N,0.2680472567025111,1203.7248455299748,2
XAYLRCPUEUXRIH-MBRJBCKXSA-N,0.2923685948899659,1101.878356424469,2
MDSLDVNMCDUPES-KYAWKZMSSA-N,0.281675308687202,1206.734819639733,2
BTJKVFBUGPMDMS-KBOLYUIFSA-N,0.2998431939236908,1204.4409869481042,2
MPSHLSJBSJPZFR-KYAWKZMSSA-N,0.2861026952343798,1197.1026574821276,2
ZLRJDFXITVCODS-KBOLYUIFSA-N,0.3001103084171428,1203.792677686405,2
FDDBMEQJBKGIOZ-MBRJBCKXSA-N,0.3150096175354615,1147.313632562033,2
TZPSXTLCQQAZIF-KBOLYUIFSA-N,0.2936063574987989,1228.2023212834206,2
UPRHNZRELQVGEY-MBRJBCKXSA-N,0.3299047413232175,1157.55427188231,2
HGQOEUPTBGRTOC-BRGPHWETSA-N,0.2735514944835401,1298.46655838346,2
XAYDMWOKRSNCDL-DPTMQIJSSA-N,0.2748183069179539,1215.3202010882696,2
IGDRLYHKRNSSMM-DGLZQNHNSA-N,0.2857202660134302,1176.6194096761974,2
WWJRZCJPVVEOKK-UIPVXWCOSA-N,0.3075334890618846,1199.0660201075598,2
