compound,n_conformers,energy_window_kcal,hydrophobic_sasa_mean,hydrophobic_sasa_std,polar_sasa_mean,total_sasa_mean,hydrophobic_fraction_mean,rg_mean,rg_std,asphericity_mean
t01_C8_omega_sulfonate,199,5.98,529.5,26.1,462.4,992.0,0.534,5.37,0.17,13.73
t02_oxa_PEG3,528,5.99,542.6,19.6,419.5,962.1,0.564,5.0,0.13,8.86
t03_mid_chain_diol_C12,185,6.0,604.2,13.1,393.7,997.9,0.605,5.54,0.07,18.7
t04_C12_omega_CONH2,230,5.99,618.5,24.1,415.0,1033.4,0.598,5.36,0.08,12.52
t05_C12_omega_COOH,75,5.99,651.0,7.3,421.6,1072.6,0.607,5.44,0.04,11.63
t06_amide_split_C12,264,5.98,680.8,20.0,291.1,971.9,0.7,4.98,0.07,8.19
t07_C8_saturated,203,5.99,593.8,13.9,341.4,935.2,0.635,5.19,0.03,15.29
t08_C12_omega_NH2,196,5.95,671.9,16.0,374.9,1046.9,0.642,5.56,0.05,16.61
t09_C12_omega_CF3,512,5.97,610.2,20.9,376.3,986.5,0.618,5.14,0.06,10.44
t10_C12_omega_OH,190,5.98,669.1,10.3,370.3,1039.4,0.644,5.3,0.06,10.85
t11_C12_branched,167,5.97,713.5,8.3,358.6,1072.2,0.666,5.93,0.06,23.57
t12_phosphocholine_like,285,6.0,672.4,14.0,364.6,1037.0,0.648,5.12,0.04,6.06
