compound_id,name,n_conf_used,dipole_D,homo_lumo_gap_eV,alpha_au,gsolv_water_kcal,logP_xtb
PAPU-0080,Fusacandin analog 6j,5,10.13832986227746,1.6993748114237135,686.4735515656702,-61.077635538427316,6.421110942012814
PAPU-0081,Fusacandin analog 6k,2,12.904128238510609,1.5658374159807777,749.1368640851451,-59.23591029089452,8.689062946450479
PAPU-0084,Fusacandin analog 6n,1,5.815,1.59936035173,702.116186,-44.55858013477653,9.931122224218926
PAPU-0085,Fusacandin analog 6o,5,6.959526059050066,1.3698924873171205,725.2104543507062,-40.203304916912764,10.6344723294253
PAPU-0086,Fusacandin analog 6p,5,9.566343561800975,1.6787815369248817,737.1882248500144,-53.23319865489518,9.858599798551879
PAPU-0078,Fusacandin analog 6h,4,3.3374162687886826,1.6757765627806678,678.3542545587976,-50.903491042714315,10.291193261258874
PAPU-0083,Fusacandin analog 6m,5,9.446853746978244,1.8509994189555852,709.7131601019339,-49.777222721317685,9.48533368119888
PAPU-0088,Fusacandin analog 6r,5,9.793617894315451,1.5632634032703476,765.7408794429543,-69.25923807373144,5.869868460068098
PAPU-0076,Fusacandin analog 6f,5,11.43784555984556,1.4276161617469545,662.9740758718146,-46.711315027132336,9.592440087334326
PAPU-0077,Fusacandin analog 6g,5,6.555193214491087,1.4597871594022647,663.6418748939045,-63.81811417780112,5.654821253029468
PAPU-0082,Fusacandin analog 6l,5,9.402542264266096,2.0173386687690877,690.4532132026243,-53.043278683469254,8.909248711014985
PAPU-0089,Fusacandin analog 6s,5,10.939614988814318,1.6909032832967483,702.2309461487695,-49.55270332407517,7.780043557493688
PAPU-0090,Fusacandin analog 6t,5,10.903433526011561,1.6400433734871303,702.6559176030828,-64.23801623699457,7.363695601068475
PAPU-0002,Papulacandin B,5,5.568744409536129,1.5773345306706643,597.7461546313066,-52.789204966082785,6.884737470833772
PAPU-0066,Fusacandin A,5,7.740042088718128,1.6620281760411921,664.2103806739434,-52.082183209814325,8.84186658620499
PAPU-0067,Fusacandin B,4,10.317213487071978,1.3327839725293735,547.3494163277428,-45.66144499863712,4.900203657569094
PAPU-0071,Fusacandin analog 6a,5,9.584202123695974,1.5081780797157345,675.789004884687,-50.03742053723251,8.912668794072458
PAPU-0072,Fusacandin analog 6b,3,8.431576454894115,1.8593587959994144,572.8741907622144,-52.14449616256014,5.23924736707249
PAPU-0073,Fusacandin analog 6c,4,7.107190349476673,1.4244635864511201,665.9399972151855,-54.69209791632859,7.757288603503658
PAPU-0074,Fusacandin analog 6d,5,8.240395289392003,1.786089267736553,623.7815683092932,-53.748683183176404,7.501541517993785
PAPU-0075,Fusacandin analog 6e,2,6.6883104335047765,1.6445241778374642,670.3807096660544,-54.98209984572782,7.725133051863194
PAPU-0079,Fusacandin analog 6i,5,7.558917693661973,1.6657184374132727,703.3572738628962,-46.44329658123148,9.57185727958469
PAPU-0087,Fusacandin analog 6q,2,3.610346444179579,1.3814083798284034,783.5554599543107,-46.25155326646274,11.560032214540744
PAPU-0091,Fusacandin analog 6u,5,13.45609239739852,1.5652664966592211,690.7960899035659,-60.54087939104972,6.880401365480679
