template,source,CNNscore,CNNaffinity,minimizedAffinity,minimizedRMSD_A,direct_coordinate_rmsd_A,input_pose,minimized_pose
9WZU_apo,boltz_sample_0_predicted_structure,0.5564015508,6.6533918381,-7.22347,2.50450,,cofold_poses\9WZU_apo__boltz_sample_0_predicted_structure.sdf,out_gnina\9WZU_apo__boltz_sample_0_predicted_structure_min.sdf
9WZU_apo,boltz_sample_1_predicted_structure,0.2019479275,6.2711086273,-6.39351,1.87728,,cofold_poses\9WZU_apo__boltz_sample_1_predicted_structure.sdf,out_gnina\9WZU_apo__boltz_sample_1_predicted_structure_min.sdf
9WZU_apo,boltz_sample_2_predicted_structure,0.2560821772,6.0073776245,-5.28254,6.02427,,cofold_poses\9WZU_apo__boltz_sample_2_predicted_structure.sdf,out_gnina\9WZU_apo__boltz_sample_2_predicted_structure_min.sdf
9WZU_apo,boltz_sample_3_predicted_structure,0.2450300157,6.4035735130,-6.68902,3.14961,,cofold_poses\9WZU_apo__boltz_sample_3_predicted_structure.sdf,out_gnina\9WZU_apo__boltz_sample_3_predicted_structure_min.sdf
9WZU_apo,boltz_sample_4_predicted_structure,0.2339083105,5.9465742111,-2.59960,2.41864,,cofold_poses\9WZU_apo__boltz_sample_4_predicted_structure.sdf,out_gnina\9WZU_apo__boltz_sample_4_predicted_structure_min.sdf
apo_8WL6,boltz_sample_0_predicted_structure,0.3629353344,6.1169319153,-4.99971,3.42172,,cofold_poses\apo_8WL6__boltz_sample_0_predicted_structure.sdf,out_gnina\apo_8WL6__boltz_sample_0_predicted_structure_min.sdf
apo_8WL6,boltz_sample_1_predicted_structure,0.2168620527,6.1442060471,-3.64033,2.85700,,cofold_poses\apo_8WL6__boltz_sample_1_predicted_structure.sdf,out_gnina\apo_8WL6__boltz_sample_1_predicted_structure_min.sdf
apo_8WL6,boltz_sample_2_predicted_structure,0.3756409287,6.0758309364,-5.71859,5.64317,,cofold_poses\apo_8WL6__boltz_sample_2_predicted_structure.sdf,out_gnina\apo_8WL6__boltz_sample_2_predicted_structure_min.sdf
apo_8WL6,boltz_sample_3_predicted_structure,0.1402608901,6.1805582047,-4.82003,2.91785,,cofold_poses\apo_8WL6__boltz_sample_3_predicted_structure.sdf,out_gnina\apo_8WL6__boltz_sample_3_predicted_structure_min.sdf
apo_8WL6,boltz_sample_4_predicted_structure,0.3798599839,6.0838842392,-4.35836,3.26458,,cofold_poses\apo_8WL6__boltz_sample_4_predicted_structure.sdf,out_gnina\apo_8WL6__boltz_sample_4_predicted_structure_min.sdf
caspo_T2,boltz_sample_0_predicted_structure,0.1451073736,5.4036331177,-5.59233,3.00479,,cofold_poses\caspo_T2__boltz_sample_0_predicted_structure.sdf,out_gnina\caspo_T2__boltz_sample_0_predicted_structure_min.sdf
caspo_T2,boltz_sample_1_predicted_structure,0.1311202049,5.5893411636,-3.85556,3.04394,,cofold_poses\caspo_T2__boltz_sample_1_predicted_structure.sdf,out_gnina\caspo_T2__boltz_sample_1_predicted_structure_min.sdf
caspo_T2,boltz_sample_2_predicted_structure,0.4038424194,5.5254220963,-2.27207,4.07908,,cofold_poses\caspo_T2__boltz_sample_2_predicted_structure.sdf,out_gnina\caspo_T2__boltz_sample_2_predicted_structure_min.sdf
caspo_T2,boltz_sample_3_predicted_structure,0.1369630098,5.7903351784,-6.35780,2.82987,,cofold_poses\caspo_T2__boltz_sample_3_predicted_structure.sdf,out_gnina\caspo_T2__boltz_sample_3_predicted_structure_min.sdf
caspo_T2,boltz_sample_4_predicted_structure,0.0391393304,5.6821465492,-6.54187,4.15294,,cofold_poses\caspo_T2__boltz_sample_4_predicted_structure.sdf,out_gnina\caspo_T2__boltz_sample_4_predicted_structure_min.sdf
